Timestamp (ms), RPM SEC
4224209,1615
4224234,1614
4224258,1668
4224282,1664
4224306,1631
4224332,1563
4224352,2024
4224375,1704
4224399,1667
4224424,1644
4224448,1653
4224473,1618
4224496,1684
4224524,1427
4224549,1600
4224574,1612
4224599,1585
4224624,1623
4224649,1574
4224665,2601
4224700,1150
4224714,2797
4224749,1122
4224763,2959
4224799,1645
4224830,1303
4224849,2124
4224873,1674
4224905,1237
4224930,1602
4224946,2463
4224980,1184
4224996,2598
4225030,1156
4225045,2723
4225080,1128
4225095,2763
4225130,1130
4225146,2579
4225180,1153
4225205,1622
4225230,1600
4225254,1694
4225280,1536
4225296,2438
4225348,1547
4225367,2049
4225392,1605
4225414,1842
4225440,1551
4225460,2009
4225484,1666
4225510,1533
4225526,2393
4225549,1728
4225575,1588
4225598,1748
4225625,1472
4225642,2307
4225665,1763
4225689,1664
4225716,1439
4225743,1514
4225757,2820
4225793,1681
4225816,1744
4225833,2270
4225856,1764
4225892,1652
4225917,1622
4225941,1660
4225956,2620
4225991,1728
4226017,1540
4226042,1574
4226056,2991
4226078,1771
4226101,1770
4226126,1578
4226149,1748
4226170,1907
4226195,1595
4226220,1599
4226236,2515
4226258,1790
4226277,2128
4226299,1826
4226327,1458
4226345,2176
4226369,1677
4226386,2272
4226409,1760
4226429,1970
4226452,1805
4226475,1708
4226500,1600
4226516,2514
4226540,1692
4226559,2003
4226581,1829
4226605,1722
4226625,1942
4226650,1601
4226675,1602
4226690,2751
4226714,1648
4226731,2366
4226756,1565
4226779,1795
4226803,1618
4226817,2901
4226838,1923
4226860,1807
4226884,1664
4226909,1631
4226929,1964
4226953,1678
4226970,2362
4226995,1557
4227012,2359
4227036,1669
4227060,1677
4227086,2344
4227101,2635
4227135,1755
4227160,1610
4227185,2359
4227210,1626
4227235,1599
4227251,2531
4227276,1560
4227292,2540
4227314,1798
4227341,1501
4227366,1589
4227390,1702
4227404,2815
4227421,2306
4227444,1721
4227464,2052
4227489,1593
4227505,2464
4227538,1219
4227553,2734
4227572,2104
4227594,1771
4227617,1736
4227639,1838
4227664,1601
4227695,1948
4227718,1748
4227733,2660
4227756,1730
4227782,1531
4227800,2232
4227822,1841
4227850,1420
4227867,2328
4227892,1602
4227917,1599
4227933,2541
4227953,1934
4227975,1875
4228015,1497
4228028,3037
4228053,1601
4228068,2587
4228093,1617
4228115,1791
4228134,2121
4228157,1762
4228183,1516
4228203,2060
4228228,1599
4228253,1600
4228278,1613
4228293,2534
4228316,1733
4228336,2023
4228358,1836
4228384,1542
4228408,1649
4228423,2636
4228447,1663
4228470,1733
4228490,2078
4228512,1767
4228536,1721
4228573,1602
4228593,1957
4228615,1838
4228643,1451
4228661,2198
4228685,1680
4228702,2387
4228725,1727
4228746,1890
4228770,1646
4228794,1695
4228818,1638
4228843,1615
4228857,2783
4228884,1477
4228905,1930
4228925,2000
4228951,1541
4228970,2118
4228995,1599
4229010,2690
4229036,1550
4229053,2315
4229076,1764
4229100,1609
4229132,1879
4229156,1686
4229181,1599
4229197,2554
4229220,1723
4229245,1596
4229263,2224
4229287,1652
4229313,2317
4229337,1674
4229363,1563
4229377,2717
4229395,2192
4229418,1782
4229450,1871
4229472,1788
4229497,1625
4229512,2596
4229538,1576
4229555,2335
4229577,1766
4229604,1532
4229628,1635
4229654,2328
4229678,1647
4229694,2499
4229717,1766
4229735,2234
4229757,1754
4229779,1865
4229810,1959
4229832,1778
4229848,2444
4229870,1810
4229898,1459
4229917,2118
4229935,2177
4229960,1610
4229976,2430
4229999,1732
4230017,2325
4230040,1740
4230060,1975
4230075,2572
4230098,1794
4230116,2142
4230140,1711
4230166,1532
4230180,2759
4230202,1861
4230223,1857
4230280,1778
4230296,2480
4230320,1655
4230335,2611
4230360,1596
4230374,2854
4230395,1943
4230419,1659
4230433,2857
4230452,2088
4230474,1839
4230495,1903
4230520,1600
4230535,2634
4230561,1568
4230577,2456
4230602,1616
4230624,1783
4230649,1623
4230662,2906
4230680,2315
4230703,1746
4230723,1959
4230747,1677
4230762,2668
4230777,2652
4230798,1941
4230823,1567
4230848,1595
4230863,2781
4230880,2318
4230903,1735
4230923,1978
4230948,1601
4230963,2735
4230983,1929
4231008,1627
4231026,2221
4231051,1599
4231064,2961
4231084,2071
4231106,1791
4231126,2016
4231151,1600
4231166,2699
4231191,1557
4231207,2623
4231229,1810
4231251,1804
4231267,2521
4231292,1582
4231307,2673
4231330,1742
4231357,1477
4231379,2754
4231404,1617
4231419,2574
4231444,1629
4231461,2288
4231483,1822
4231504,1952
4231529,1599
4231544,2614
4231562,2257
4231583,1894
4231603,2004
4231629,1540
4231644,2588
4231663,2074
4231683,2017
4231710,1524
4231728,2108
4231744,2516
4231765,1910
4231786,1921
4231806,2007
4231831,1589
4231846,2745
4231864,2188
4231886,1841
4231906,1968
4231922,2442
4231946,1709
4231964,2208
4231986,1836
4232006,1981
4232022,2507
4232046,1653
4232062,2487
4232085,1787
4232110,1596
4232124,2767
4232142,2259
4232166,1666
4232184,2201
4232209,1586
4232223,2913
4232241,2215
4232266,1593
4232284,2217
4232309,1595
4232323,2913
4232340,2279
4232365,1609
4232387,1851
4232412,2377
4232437,1612
4232462,2398
4232476,2767
4232495,2167
4232517,1778
4232537,2043
4232553,2473
4232575,1855
4232594,2060
4232617,1738
4232637,2013
4232653,2556
4232669,2376
4232695,1567
4232712,2331
4232727,2710
4232749,1845
4232767,2199
4232791,1650
4232807,2433
4232825,2286
4232848,1759
4232866,2177
4232891,1602
4232916,2385
4232940,1688
4232957,2301
4232972,2618
4232998,1566
4233015,2338
4233032,2435
4233054,1787
4233075,1902
4233094,2119
4233120,1527
4233134,2874
4233153,2096
4233174,1950
4233195,1862
4233220,1599
4233234,2797
4233260,1553
4233276,2563
4233301,1605
4233327,1517
4233341,2834
4233362,1885
4233380,2278
4233406,1537
4233421,2637
4233456,1737
4233480,1635
4233506,2316
4233530,1660
4233545,2594
4233563,2239
4233584,1931
4233605,1903
4233630,1593
4233645,2629
4233668,1749
4233689,1961
4233717,1406
4233739,2701
4233763,1680
4233780,2382
4233802,1761
4233821,2171
4233843,1790
4233864,1926
4233889,1597
4233904,2660
4233927,1710
4233945,2228
4233971,1578
4233989,2201
4234014,1600
4234029,2730
4234053,1647
4234071,2175
4234094,1741
4234119,1584
4234144,1636
4234170,2342
4234194,1637
4234220,1563
4234234,2783
4234252,2158
4234274,1831
4234302,1466
4234320,2199
4234344,1654
4234369,2429
4234400,1294
4234422,2624
4234446,1719
4234472,1536
4234486,2808
4234506,1944
4234528,1842
4234553,1600
4234571,2187
4234595,1664
4234622,1529
4234636,2804
4234663,1454
4234687,1703
4234705,2209
4234730,1608
